"answerGroups","question_id","imgUrl","answerQuestions","questionStr"
"[[{""id"": ""g.0.0"", ""content"": ""resting""}], [{""id"": ""g.1.0"", ""content"": ""sitting""}], [{""id"": ""g.2.0"", ""content"": ""begging""}], [{""id"": ""g.3.0"", ""content"": ""he is homeless""}], [{""id"": ""g.4.0"", ""content"": ""homeless""}]]","524314000","""No link""","[""empty"", ""empty"", ""empty"", ""empty"", ""empty""]","""Why is the man on the street?"""
"[[{""id"": ""g.0.0"", ""content"": ""bad light""}], [{""id"": ""g.1.0"", ""content"": ""direction of sunlight""}], [{""id"": ""g.2.0"", ""content"": ""position of sun""}], [{""id"": ""g.3.0"", ""content"": ""glare""}], [{""id"": ""g.4.0"", ""content"": ""low light""}], [{""id"": ""g.5.0"", ""content"": ""sunset""}], [{""id"": ""g.6.0"", ""content"": ""sun""}], [{""id"": ""g.7.0"", ""content"": ""lighting""}], [{""id"": ""g.8.0"", ""content"": ""backlighting""}], [{""id"": ""g.9.0"", ""content"": ""shadows""}]]","262260000","""No link""","[""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty""]","""Why are the birds only appearing as black silhouettes?"""
"[[{""id"": ""g.0.0"", ""content"": ""lack of storage""}], [{""id"": ""g.1.0"", ""content"": ""haven't put away yet""}], [{""id"": ""g.2.0"", ""content"": ""yes""}], [{""id"": ""g.3.0"", ""content"": ""she's messy""}], [{""id"": ""g.4.0"", ""content"": ""messy""}], [{""id"": ""g.5.0"", ""content"": ""bed isn't made""}], [{""id"": ""g.6.0"", ""content"": ""she just did laundry""}], [{""id"": ""g.7.0"", ""content"": ""she does not want to put them away""}], [{""id"": ""g.8.0"", ""content"": ""it's hot""}], [{""id"": ""g.9.0"", ""content"": ""laundry""}]]","131208000","""No link""","[""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty""]","""Why are there so many clothes on the bed?"""
"[[{""id"": ""g.0.0"", ""content"": ""barbecue""}], [{""id"": ""g.1.0"", ""content"": ""for festival""}], [{""id"": ""g.2.0"", ""content"": ""for sale""}], [{""id"": ""g.3.0"", ""content"": ""barbeque for friends or family""}], [{""id"": ""g.4.0"", ""content"": ""cookout""}], [{""id"": ""g.5.0"", ""content"": ""to eat""}], [{""id"": ""g.6.0"", ""content"": ""fundraiser""}], [{""id"": ""g.7.0"", ""content"": ""to feed people""}], [{""id"": ""g.8.0"", ""content"": ""party""}]]","524486002","""No link""","[""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty""]","""Why is the man cooking so many hot dogs?"""
"[[{""id"": ""g.0.0"", ""content"": ""keep sun off""}], [{""id"": ""g.1.0"", ""content"": ""it's sunny""}], [{""id"": ""g.2.0"", ""content"": ""protection from sun""}], [{""id"": ""g.3.0"", ""content"": ""sun protection""}], [{""id"": ""g.4.0"", ""content"": ""sunscreen""}], [{""id"": ""g.5.0"", ""content"": ""sun""}], [{""id"": ""g.6.0"", ""content"": ""its' sunny""}], [{""id"": ""g.7.0"", ""content"": ""block sun""}]]","36002","""No link""","[""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty""]","""Why is the girl holding an umbrella?"""
"[[{""id"": ""g.0.0"", ""content"": ""personal preference""}], [{""id"": ""g.1.0"", ""content"": ""too acidic""}], [{""id"": ""g.2.0"", ""content"": ""they don't like oranges""}], [{""id"": ""g.3.0"", ""content"": ""acidic""}], [{""id"": ""g.4.0"", ""content"": ""have to peel""}], [{""id"": ""g.5.0"", ""content"": ""allergic to it""}], [{""id"": ""g.6.0"", ""content"": ""they just don't""}], [{""id"": ""g.7.0"", ""content"": ""wax""}], [{""id"": ""g.8.0"", ""content"": ""to citrusy""}], [{""id"": ""g.9.0"", ""content"": ""rotten""}]]","39288002","""No link""","[""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty""]","""Why would someone not like the fruit at the front?"""
"[[{""id"": ""g.0.0"", ""content"": ""to stop traffic""}], [{""id"": ""g.1.0"", ""content"": ""stop cars""}], [{""id"": ""g.2.0"", ""content"": ""to stop cars""}], [{""id"": ""g.3.0"", ""content"": ""stop""}], [{""id"": ""g.4.0"", ""content"": ""to signal cars to stop""}], [{""id"": ""g.5.0"", ""content"": ""so drivers know to stop""}], [{""id"": ""g.6.0"", ""content"": ""red for stop""}]]","524520002","""No link""","[""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty""]","""Why is the top light on?"""
"[[{""id"": ""g.0.0"", ""content"": ""ramp""}], [{""id"": ""g.1.0"", ""content"": ""snowboarding jump""}], [{""id"": ""g.2.0"", ""content"": ""snowboarding down hill""}], [{""id"": ""g.3.0"", ""content"": ""tricks""}], [{""id"": ""g.4.0"", ""content"": ""jumping""}], [{""id"": ""g.5.0"", ""content"": ""he went off jump""}], [{""id"": ""g.6.0"", ""content"": ""snowboarding""}], [{""id"": ""g.7.0"", ""content"": ""making ski jump""}]]","524547000","""No link""","[""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty""]","""Why is the man in mid-air?"""
"[[{""id"": ""g.0.0"", ""content"": ""riding""}], [{""id"": ""g.1.0"", ""content"": ""traveling""}], [{""id"": ""g.2.0"", ""content"": ""riding them""}], [{""id"": ""g.3.0"", ""content"": ""safari ride""}]]","61001","""No link""","[""empty"", ""empty"", ""empty"", ""empty""]","""Why are the people on the elephants?"""
"[[{""id"": ""g.0.0"", ""content"": ""it is fall""}], [{""id"": ""g.1.0"", ""content"": ""autumn""}], [{""id"": ""g.2.0"", ""content"": ""fall season""}], [{""id"": ""g.3.0"", ""content"": ""they're green""}], [{""id"": ""g.4.0"", ""content"": ""it's fall""}], [{""id"": ""g.5.0"", ""content"": ""it's autumn""}], [{""id"": ""g.6.0"", ""content"": ""season change""}], [{""id"": ""g.7.0"", ""content"": ""changing season""}], [{""id"": ""g.8.0"", ""content"": ""fall""}]]","524661005","""No link""","[""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty""]","""Why are some of the leaves brown?"""
"[[{""id"": ""g.0.0"", ""content"": ""posing""}], [{""id"": ""g.1.0"", ""content"": ""talking to someone""}], [{""id"": ""g.2.0"", ""content"": ""taking calls""}], [{""id"": ""g.3.0"", ""content"": ""they are talking to other people""}], [{""id"": ""g.4.0"", ""content"": ""3""}], [{""id"": ""g.5.0"", ""content"": ""poor real life social skills""}], [{""id"": ""g.6.0"", ""content"": ""talking""}], [{""id"": ""g.7.0"", ""content"": ""talk to people not present""}], [{""id"": ""g.8.0"", ""content"": ""boredom""}], [{""id"": ""g.9.0"", ""content"": ""they are talking""}]]","157125001","""No link""","[""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty""]","""Why are these people on their cell phones?"""
"[[{""id"": ""g.0.0"", ""content"": ""it's nighttime""}], [{""id"": ""g.1.0"", ""content"": ""yes""}], [{""id"": ""g.2.0"", ""content"": ""nighttime""}], [{""id"": ""g.3.0"", ""content"": ""night""}], [{""id"": ""g.4.0"", ""content"": ""night time""}], [{""id"": ""g.5.0"", ""content"": ""sun went down""}]]","262705000","""No link""","[""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty""]","""Why is it dark?"""
"[[{""id"": ""g.0.0"", ""content"": ""camera""}], [{""id"": ""g.1.0"", ""content"": ""yes""}], [{""id"": ""g.2.0"", ""content"": ""person moving""}], [{""id"": ""g.3.0"", ""content"": ""night""}], [{""id"": ""g.4.0"", ""content"": ""motion""}], [{""id"": ""g.5.0"", ""content"": ""person is moving""}], [{""id"": ""g.6.0"", ""content"": ""moving subject""}]]","262705005","""No link""","[""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty""]","""Why is this photograph blurry?"""
"[[{""id"": ""g.0.0"", ""content"": ""they're skiing""}], [{""id"": ""g.1.0"", ""content"": ""skiing""}], [{""id"": ""g.2.0"", ""content"": ""its skiing""}], [{""id"": ""g.3.0"", ""content"": ""yes""}]]","262705007","""No link""","[""empty"", ""empty"", ""empty"", ""empty""]","""Why is the child happy?"""
"[[{""id"": ""g.0.0"", ""content"": ""to park""}], [{""id"": ""g.1.0"", ""content"": ""to show where planes should go""}], [{""id"": ""g.2.0"", ""content"": ""parking areas""}], [{""id"": ""g.3.0"", ""content"": ""parking spots for airplanes""}], [{""id"": ""g.4.0"", ""content"": ""caution""}], [{""id"": ""g.5.0"", ""content"": ""for parking planes""}], [{""id"": ""g.6.0"", ""content"": ""parking""}], [{""id"": ""g.7.0"", ""content"": ""guidelines""}], [{""id"": ""g.8.0"", ""content"": ""guide planes""}]]","524925003","""No link""","[""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty""]","""Why are there stripes on the runway?"""
"[[{""id"": ""g.0.0"", ""content"": ""to dry""}], [{""id"": ""g.1.0"", ""content"": ""so parts on bottom don't get destroyed""}], [{""id"": ""g.2.0"", ""content"": ""to get waxed""}], [{""id"": ""g.3.0"", ""content"": ""to be waxed""}], [{""id"": ""g.4.0"", ""content"": ""broken""}], [{""id"": ""g.5.0"", ""content"": ""so fins don't break""}], [{""id"": ""g.6.0"", ""content"": ""no""}], [{""id"": ""g.7.0"", ""content"": ""wind""}], [{""id"": ""g.8.0"", ""content"": ""drying""}], [{""id"": ""g.9.0"", ""content"": ""not in use""}]]","673000","""No link""","[""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty""]","""Why are all of the surfboards upside down?"""
"[[{""id"": ""g.0.0"", ""content"": ""turtle crossing""}], [{""id"": ""g.1.0"", ""content"": ""merging traffic""}], [{""id"": ""g.2.0"", ""content"": ""curve""}], [{""id"": ""g.3.0"", ""content"": ""turn""}], [{""id"": ""g.4.0"", ""content"": ""bump on road""}], [{""id"": ""g.5.0"", ""content"": ""bumps""}], [{""id"": ""g.6.0"", ""content"": ""slick""}], [{""id"": ""g.7.0"", ""content"": ""for safety""}], [{""id"": ""g.8.0"", ""content"": ""curvy road""}]]","393922005","""No link""","[""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty""]","""Why does the sign say SLOW?"""
"[[{""id"": ""g.0.0"", ""content"": ""10""}], [{""id"": ""g.1.0"", ""content"": ""crowds""}], [{""id"": ""g.2.0"", ""content"": ""riot""}], [{""id"": ""g.3.0"", ""content"": ""control crowd""}], [{""id"": ""g.4.0"", ""content"": ""lead march""}], [{""id"": ""g.5.0"", ""content"": ""protection""}], [{""id"": ""g.6.0"", ""content"": ""crowd control""}], [{""id"": ""g.7.0"", ""content"": ""protest""}], [{""id"": ""g.8.0"", ""content"": ""patrol crowd""}]]","480717002","""No link""","[""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty""]","""Why are the police there?"""
"[[{""id"": ""g.0.0"", ""content"": ""happy""}], [{""id"": ""g.1.0"", ""content"": ""he is happy""}], [{""id"": ""g.2.0"", ""content"": ""his food is made right""}], [{""id"": ""g.3.0"", ""content"": ""cooking""}], [{""id"": ""g.4.0"", ""content"": ""for camera""}], [{""id"": ""g.5.0"", ""content"": ""cooking fun""}], [{""id"": ""g.6.0"", ""content"": ""for picture""}], [{""id"": ""g.7.0"", ""content"": ""he's happy""}]]","525012000","""No link""","[""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty""]","""Why is the man smiling?"""
"[[{""id"": ""g.0.0"", ""content"": ""to increase speed/momentum""}], [{""id"": ""g.1.0"", ""content"": ""to ski""}], [{""id"": ""g.2.0"", ""content"": ""for balance""}], [{""id"": ""g.3.0"", ""content"": ""leverage and balance""}], [{""id"": ""g.4.0"", ""content"": ""balance""}], [{""id"": ""g.5.0"", ""content"": ""speed""}], [{""id"": ""g.6.0"", ""content"": ""skiing""}]]","525015000","""No link""","[""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty""]","""Why is he using ski poles?"""
"[[{""id"": ""g.0.0"", ""content"": ""rain""}], [{""id"": ""g.1.0"", ""content"": ""raining""}], [{""id"": ""g.2.0"", ""content"": ""rainy day""}], [{""id"": ""g.3.0"", ""content"": ""it's raining""}]]","393985001","""No link""","[""empty"", ""empty"", ""empty"", ""empty""]","""Why are these people carrying umbrellas?"""
"[[{""id"": ""g.0.0"", ""content"": ""sand""}], [{""id"": ""g.1.0"", ""content"": ""doesn't want to""}], [{""id"": ""g.2.0"", ""content"": ""beach""}], [{""id"": ""g.3.0"", ""content"": ""he's at beach""}], [{""id"": ""g.4.0"", ""content"": ""on beach""}], [{""id"": ""g.5.0"", ""content"": ""because there's sand""}], [{""id"": ""g.6.0"", ""content"": ""at beach""}]]","525100000","""No link""","[""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty""]","""Why isn't he wearing shoes?"""
"[[{""id"": ""g.0.0"", ""content"": ""safety""}], [{""id"": ""g.1.0"", ""content"": ""it's not""}], [{""id"": ""g.2.0"", ""content"": ""parked""}], [{""id"": ""g.3.0"", ""content"": ""security""}], [{""id"": ""g.4.0"", ""content"": ""no""}], [{""id"": ""g.5.0"", ""content"": ""it is not""}], [{""id"": ""g.6.0"", ""content"": ""it is not connected to pole""}]]","262967000","""No link""","[""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty""]","""Why is the bike connected to the pole?"""
"[[{""id"": ""g.0.0"", ""content"": ""too short""}], [{""id"": ""g.1.0"", ""content"": ""too loose""}], [{""id"": ""g.2.0"", ""content"": ""spread legs""}], [{""id"": ""g.3.0"", ""content"": ""hard to get on bike""}], [{""id"": ""g.4.0"", ""content"": ""dress comes up""}], [{""id"": ""g.5.0"", ""content"": ""revealing""}], [{""id"": ""g.6.0"", ""content"": ""dress""}], [{""id"": ""g.7.0"", ""content"": ""it is not""}], [{""id"": ""g.8.0"", ""content"": ""weather wise""}], [{""id"": ""g.9.0"", ""content"": ""could cause danger""}]]","262967008","""No link""","[""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty""]","""Why is her outfit impractical for this activity?"""
"[[{""id"": ""g.0.0"", ""content"": ""they aren't""}], [{""id"": ""g.1.0"", ""content"": ""environment""}], [{""id"": ""g.2.0"", ""content"": ""don't know""}], [{""id"": ""g.3.0"", ""content"": ""durability""}], [{""id"": ""g.4.0"", ""content"": ""stove""}], [{""id"": ""g.5.0"", ""content"": ""clean""}], [{""id"": ""g.6.0"", ""content"": ""cleanliness""}], [{""id"": ""g.7.0"", ""content"": ""for preparing food""}], [{""id"": ""g.8.0"", ""content"": ""keep it clean""}], [{""id"": ""g.9.0"", ""content"": ""to make it easier to clean""}]]","131909035","""No link""","[""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty""]","""Why must the tables be made of stainless steel in this environment?"""
"[[{""id"": ""g.0.0"", ""content"": ""to stop rain""}], [{""id"": ""g.1.0"", ""content"": ""no umbrella""}], [{""id"": ""g.2.0"", ""content"": ""block rain""}], [{""id"": ""g.3.0"", ""content"": ""there isn't""}], [{""id"": ""g.4.0"", ""content"": ""no""}], [{""id"": ""g.5.0"", ""content"": ""not possible""}], [{""id"": ""g.6.0"", ""content"": ""block sun""}]]","263002005","""No link""","[""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty""]","""Why is there an umbrella on top of this truck in the foreground?"""
"[[{""id"": ""g.0.0"", ""content"": ""snow""}], [{""id"": ""g.1.0"", ""content"": ""yes""}]]","436481001","""No link""","[""empty"", ""empty""]","""Why is the ground white?"""
"[[{""id"": ""g.0.0"", ""content"": ""they're cooking""}], [{""id"": ""g.1.0"", ""content"": ""keep themselves clean""}], [{""id"": ""g.2.0"", ""content"": ""yes""}], [{""id"": ""g.3.0"", ""content"": ""to keep clothes clean""}], [{""id"": ""g.4.0"", ""content"": ""cooking""}], [{""id"": ""g.5.0"", ""content"": ""they are cooking""}], [{""id"": ""g.6.0"", ""content"": ""they're cooks""}], [{""id"": ""g.7.0"", ""content"": ""working""}]]","525180001","""No link""","[""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty""]","""Why are the men wearing aprons?"""
"[[{""id"": ""g.0.0"", ""content"": ""cannot tell""}], [{""id"": ""g.1.0"", ""content"": ""not open""}], [{""id"": ""g.2.0"", ""content"": ""living room""}], [{""id"": ""g.3.0"", ""content"": ""because woman left it open""}], [{""id"": ""g.4.0"", ""content"": ""visibility""}], [{""id"": ""g.5.0"", ""content"": ""fresh air""}], [{""id"": ""g.6.0"", ""content"": ""access""}], [{""id"": ""g.7.0"", ""content"": ""open to office""}], [{""id"": ""g.8.0"", ""content"": ""not closed""}], [{""id"": ""g.9.0"", ""content"": ""no privacy needed""}]]","497558001","""No link""","[""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty""]","""Why is the door open?"""
"[[{""id"": ""g.0.0"", ""content"": ""mesh chair""}], [{""id"": ""g.1.0"", ""content"": ""yes""}], [{""id"": ""g.2.0"", ""content"": ""material that chair back is made of is see-through material""}], [{""id"": ""g.3.0"", ""content"": ""it has mesh on it""}], [{""id"": ""g.4.0"", ""content"": ""holes""}], [{""id"": ""g.5.0"", ""content"": ""mesh""}], [{""id"": ""g.6.0"", ""content"": ""it's mesh""}]]","525223000","""No link""","[""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty""]","""Why are we able to see through the chair back?"""
"[[{""id"": ""g.0.0"", ""content"": ""computers""}], [{""id"": ""g.1.0"", ""content"": ""iphone""}], [{""id"": ""g.2.0"", ""content"": ""technology""}], [{""id"": ""g.3.0"", ""content"": ""not sure""}], [{""id"": ""g.4.0"", ""content"": ""new technology""}], [{""id"": ""g.5.0"", ""content"": ""outdated""}], [{""id"": ""g.6.0"", ""content"": ""obsolete""}], [{""id"": ""g.7.0"", ""content"": ""i didn't""}], [{""id"": ""g.8.0"", ""content"": ""they are obsolete""}]]","941004","""No link""","[""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty""]","""Why have Palm pilots disappeared?"""
"[[{""id"": ""g.0.0"", ""content"": ""museum""}], [{""id"": ""g.1.0"", ""content"": ""old""}], [{""id"": ""g.2.0"", ""content"": ""yes""}], [{""id"": ""g.3.0"", ""content"": ""to exhibit""}], [{""id"": ""g.4.0"", ""content"": ""travel""}], [{""id"": ""g.5.0"", ""content"": ""decor""}], [{""id"": ""g.6.0"", ""content"": ""historical""}], [{""id"": ""g.7.0"", ""content"": ""trunks""}], [{""id"": ""g.8.0"", ""content"": ""for sale""}], [{""id"": ""g.9.0"", ""content"": ""famous person's""}]]","955000","""No link""","[""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty""]","""Why are they on display?"""
"[[{""id"": ""g.0.0"", ""content"": ""safety""}], [{""id"": ""g.1.0"", ""content"": ""because of ball""}], [{""id"": ""g.2.0"", ""content"": ""safety from ball""}], [{""id"": ""g.3.0"", ""content"": ""in case ball hits them""}], [{""id"": ""g.4.0"", ""content"": ""danger""}], [{""id"": ""g.5.0"", ""content"": ""in case they get hit with ball""}], [{""id"": ""g.6.0"", ""content"": ""to protect from ball""}], [{""id"": ""g.7.0"", ""content"": ""in case they are hit with ball protects head""}], [{""id"": ""g.8.0"", ""content"": ""protection""}]]","525300001","""No link""","[""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty""]","""Why do they wear head protection?"""
