"answerGroups","question_id","imgUrl","answerQuestions","questionStr"
"[[{""id"": ""g.0.0"", ""content"": ""outdoor dining""}], [{""id"": ""g.1.0"", ""content"": ""nice out""}], [{""id"": ""g.2.0"", ""content"": ""dining""}], [{""id"": ""g.3.0"", ""content"": ""restaurant seating""}], [{""id"": ""g.4.0"", ""content"": ""to sit on""}], [{""id"": ""g.5.0"", ""content"": ""outside dining""}], [{""id"": ""g.6.0"", ""content"": ""for dining""}], [{""id"": ""g.7.0"", ""content"": ""cafe""}], [{""id"": ""g.8.0"", ""content"": ""it's outdoor cafe""}], [{""id"": ""g.9.0"", ""content"": ""people eating""}]]","133114004","""No link""","[""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty""]","""Why are the chairs outside?"""
"[[{""id"": ""g.0.0"", ""content"": ""because bus is yellow""}], [{""id"": ""g.1.0"", ""content"": ""route""}], [{""id"": ""g.2.0"", ""content"": ""yes""}], [{""id"": ""g.3.0"", ""content"": ""to identify it""}], [{""id"": ""g.4.0"", ""content"": ""bus is yellow""}], [{""id"": ""g.5.0"", ""content"": ""company brand""}], [{""id"": ""g.6.0"", ""content"": ""yellow bus/certain route""}], [{""id"": ""g.7.0"", ""content"": ""logo""}], [{""id"": ""g.8.0"", ""content"": ""car""}], [{""id"": ""g.9.0"", ""content"": ""color of bus""}]]","395314002","""No link""","[""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty""]","""Why is the symbol in the bus window a lemon?"""
"[[{""id"": ""g.0.0"", ""content"": ""because he slid""}], [{""id"": ""g.1.0"", ""content"": ""sliding""}], [{""id"": ""g.2.0"", ""content"": ""slide into plate carrier""}], [{""id"": ""g.3.0"", ""content"": ""he has fallen""}], [{""id"": ""g.4.0"", ""content"": ""he fell""}], [{""id"": ""g.5.0"", ""content"": ""it is baseball field""}]]","526403001","""No link""","[""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty""]","""Why there is dirt on the man to the right?"""
"[[{""id"": ""g.0.0"", ""content"": ""yes""}], [{""id"": ""g.1.0"", ""content"": ""he's surfing""}], [{""id"": ""g.2.0"", ""content"": ""surfboarding""}], [{""id"": ""g.3.0"", ""content"": ""stay warm""}], [{""id"": ""g.4.0"", ""content"": ""he is surfing""}], [{""id"": ""g.5.0"", ""content"": ""surfing""}], [{""id"": ""g.6.0"", ""content"": ""it's cold""}], [{""id"": ""g.7.0"", ""content"": ""in water""}], [{""id"": ""g.8.0"", ""content"": ""for protection""}]]","395341001","""No link""","[""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty""]","""Why is he wearing a wetsuit?"""
"[[{""id"": ""g.0.0"", ""content"": ""to black sun""}], [{""id"": ""g.1.0"", ""content"": ""sunlight""}], [{""id"": ""g.2.0"", ""content"": ""shade""}], [{""id"": ""g.3.0"", ""content"": ""for shade""}], [{""id"": ""g.4.0"", ""content"": ""sunny""}], [{""id"": ""g.5.0"", ""content"": ""block sun""}]]","2135005","""No link""","[""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty""]","""Why are the umbrellas open?"""
"[[{""id"": ""g.0.0"", ""content"": ""use both""}], [{""id"": ""g.1.0"", ""content"": ""yes""}], [{""id"": ""g.2.0"", ""content"": ""screen""}], [{""id"": ""g.3.0"", ""content"": ""better view""}], [{""id"": ""g.4.0"", ""content"": ""white is used""}], [{""id"": ""g.5.0"", ""content"": ""airflow""}], [{""id"": ""g.6.0"", ""content"": ""laptop keyboard broken""}], [{""id"": ""g.7.0"", ""content"": ""ease of use""}]]","526467000","""No link""","[""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty""]","""Why is the laptop sitting above a larger keyboard?"""
"[[{""id"": ""g.0.0"", ""content"": ""he's buying fridge""}], [{""id"": ""g.1.0"", ""content"": ""he bought new fridge""}], [{""id"": ""g.2.0"", ""content"": ""happy""}], [{""id"": ""g.3.0"", ""content"": ""he likes fridge""}], [{""id"": ""g.4.0"", ""content"": ""new fridge""}], [{""id"": ""g.5.0"", ""content"": ""buying fridge""}], [{""id"": ""g.6.0"", ""content"": ""about to make purchase""}], [{""id"": ""g.7.0"", ""content"": ""unknown""}]]","395409000","""No link""","[""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty""]","""Why is the man smiling?"""
"[[{""id"": ""g.0.0"", ""content"": ""lecture""}], [{""id"": ""g.1.0"", ""content"": ""speech""}], [{""id"": ""g.2.0"", ""content"": ""conference""}], [{""id"": ""g.3.0"", ""content"": ""so that his voice can be heard""}], [{""id"": ""g.4.0"", ""content"": ""he's talking""}], [{""id"": ""g.5.0"", ""content"": ""keynote speaker""}], [{""id"": ""g.6.0"", ""content"": ""giving speech""}], [{""id"": ""g.7.0"", ""content"": ""making joke""}]]","526491001","""No link""","[""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty""]","""Why is the man speaking at the microphone?"""
"[[{""id"": ""g.0.0"", ""content"": ""decoration""}], [{""id"": ""g.1.0"", ""content"": ""someone put them there""}], [{""id"": ""g.2.0"", ""content"": ""storage""}], [{""id"": ""g.3.0"", ""content"": ""design""}], [{""id"": ""g.4.0"", ""content"": ""padding""}], [{""id"": ""g.5.0"", ""content"": ""idk""}], [{""id"": ""g.6.0"", ""content"": ""unknown""}], [{""id"": ""g.7.0"", ""content"": ""stacked on other stuff""}], [{""id"": ""g.8.0"", ""content"": ""extras""}], [{""id"": ""g.9.0"", ""content"": ""they don't need to use them""}]]","395426003","""No link""","[""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty""]","""Why are there cushions on the wall?"""
"[[{""id"": ""g.0.0"", ""content"": ""to catch ball""}], [{""id"": ""g.1.0"", ""content"": ""he is catcher""}], [{""id"": ""g.2.0"", ""content"": ""catching""}], [{""id"": ""g.3.0"", ""content"": ""he is catcher awaiting ball thrown by pitcher""}], [{""id"": ""g.4.0"", ""content"": ""to catch""}], [{""id"": ""g.5.0"", ""content"": ""catcher""}], [{""id"": ""g.6.0"", ""content"": ""to catch baseball""}], [{""id"": ""g.7.0"", ""content"": ""to call hit or ball""}], [{""id"": ""g.8.0"", ""content"": ""catcher position""}], [{""id"": ""g.9.0"", ""content"": ""because that is catcher's position""}]]","264356000","""No link""","[""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty""]","""Why is the guy in white almost on his knees?"""
"[[{""id"": ""g.0.0"", ""content"": ""museum piece""}], [{""id"": ""g.1.0"", ""content"": ""it's not""}], [{""id"": ""g.2.0"", ""content"": ""storage""}], [{""id"": ""g.3.0"", ""content"": ""parked""}], [{""id"": ""g.4.0"", ""content"": ""it is not in use""}], [{""id"": ""g.5.0"", ""content"": ""it doesn't fly""}], [{""id"": ""g.6.0"", ""content"": ""parked there""}], [{""id"": ""g.7.0"", ""content"": ""part of collection""}], [{""id"": ""g.8.0"", ""content"": ""no reason""}]]","526506002","""No link""","[""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty""]","""Why is the helicopter sitting behind a building?"""
"[[{""id"": ""g.0.0"", ""content"": ""watching""}], [{""id"": ""g.1.0"", ""content"": ""resting""}], [{""id"": ""g.2.0"", ""content"": ""it's thinking""}], [{""id"": ""g.3.0"", ""content"": ""blending in""}], [{""id"": ""g.4.0"", ""content"": ""looking around""}], [{""id"": ""g.5.0"", ""content"": ""watching another animal""}], [{""id"": ""g.6.0"", ""content"": ""it is looking at something""}], [{""id"": ""g.7.0"", ""content"": ""predator in area""}], [{""id"": ""g.8.0"", ""content"": ""looking""}], [{""id"": ""g.9.0"", ""content"": ""he heard noise""}]]","133314001","""No link""","[""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty""]","""Why is the giraffe standing so still?"""
"[[{""id"": ""g.0.0"", ""content"": ""yes""}], [{""id"": ""g.1.0"", ""content"": ""photo taken from car""}], [{""id"": ""g.2.0"", ""content"": ""vehicle""}], [{""id"": ""g.3.0"", ""content"": ""picture taken from inside car""}], [{""id"": ""g.4.0"", ""content"": ""there is road""}], [{""id"": ""g.5.0"", ""content"": ""cow on road""}], [{""id"": ""g.6.0"", ""content"": ""car""}], [{""id"": ""g.7.0"", ""content"": ""inside car""}], [{""id"": ""g.8.0"", ""content"": ""windshield""}]]","264388001","""No link""","[""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty""]","""Why is the nature scene partially obstructed?"""
"[[{""id"": ""g.0.0"", ""content"": ""safety""}], [{""id"": ""g.1.0"", ""content"": ""do he doesn't drown""}], [{""id"": ""g.2.0"", ""content"": ""yes""}], [{""id"": ""g.3.0"", ""content"": ""so he doesn't drown""}], [{""id"": ""g.4.0"", ""content"": ""won't drown""}], [{""id"": ""g.5.0"", ""content"": ""swimming""}], [{""id"": ""g.6.0"", ""content"": ""can't swim""}], [{""id"": ""g.7.0"", ""content"": ""to keep from drowning""}], [{""id"": ""g.8.0"", ""content"": ""keep afloat""}]]","264436002","""No link""","[""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty""]","""Why does this dog wear a vest?"""
"[[{""id"": ""g.0.0"", ""content"": ""brothers""}], [{""id"": ""g.1.0"", ""content"": ""for fun""}], [{""id"": ""g.2.0"", ""content"": ""yes""}], [{""id"": ""g.3.0"", ""content"": ""best friends""}], [{""id"": ""g.4.0"", ""content"": ""team""}], [{""id"": ""g.5.0"", ""content"": ""friends""}], [{""id"": ""g.6.0"", ""content"": ""just because""}], [{""id"": ""g.7.0"", ""content"": ""same shirt""}]]","133384002","""No link""","[""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty""]","""Why are the boys dressed alike?"""
"[[{""id"": ""g.0.0"", ""content"": ""those are kites""}], [{""id"": ""g.1.0"", ""content"": ""spray""}], [{""id"": ""g.2.0"", ""content"": ""near beach""}], [{""id"": ""g.3.0"", ""content"": ""those are kites, not water drops""}], [{""id"": ""g.4.0"", ""content"": ""i guess it is foggy""}], [{""id"": ""g.5.0"", ""content"": ""it rained earlier""}], [{""id"": ""g.6.0"", ""content"": ""beach""}], [{""id"": ""g.7.0"", ""content"": ""no""}], [{""id"": ""g.8.0"", ""content"": ""splash""}], [{""id"": ""g.9.0"", ""content"": ""for effect""}]]","133410004","""No link""","[""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty""]","""Why is water on the camera, when it's not raining?"""
"[[{""id"": ""g.0.0"", ""content"": ""resting""}], [{""id"": ""g.1.0"", ""content"": ""1""}], [{""id"": ""g.2.0"", ""content"": ""to read""}], [{""id"": ""g.3.0"", ""content"": ""bench""}], [{""id"": ""g.4.0"", ""content"": ""to relax""}], [{""id"": ""g.5.0"", ""content"": ""feeding birds""}]]","133467027","""No link""","[""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty""]","""Why are the people sitting there?"""
"[[{""id"": ""g.0.0"", ""content"": ""for fun""}], [{""id"": ""g.1.0"", ""content"": ""school""}], [{""id"": ""g.2.0"", ""content"": ""competitive skiers""}], [{""id"": ""g.3.0"", ""content"": ""ski race""}], [{""id"": ""g.4.0"", ""content"": ""lesson""}], [{""id"": ""g.5.0"", ""content"": ""skiing lessons""}], [{""id"": ""g.6.0"", ""content"": ""learning to ski""}], [{""id"": ""g.7.0"", ""content"": ""it's class""}], [{""id"": ""g.8.0"", ""content"": ""competition""}], [{""id"": ""g.9.0"", ""content"": ""vacation""}]]","2402013","""No link""","[""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty""]","""Why are there so many children skiing?"""
"[[{""id"": ""g.0.0"", ""content"": ""life""}], [{""id"": ""g.1.0"", ""content"": ""having fun""}], [{""id"": ""g.2.0"", ""content"": ""tv""}], [{""id"": ""g.3.0"", ""content"": ""he's playing game""}], [{""id"": ""g.4.0"", ""content"": ""playing games""}], [{""id"": ""g.5.0"", ""content"": ""winning""}], [{""id"": ""g.6.0"", ""content"": ""he's having fun""}], [{""id"": ""g.7.0"", ""content"": ""he's playing""}], [{""id"": ""g.8.0"", ""content"": ""playing wii""}], [{""id"": ""g.9.0"", ""content"": ""playing""}]]","510729001","""No link""","[""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty""]","""Why is this guy so happy?"""
"[[{""id"": ""g.0.0"", ""content"": ""not""}], [{""id"": ""g.1.0"", ""content"": ""it's not""}], [{""id"": ""g.2.0"", ""content"": ""it's not in black and white""}], [{""id"": ""g.3.0"", ""content"": ""no""}], [{""id"": ""g.4.0"", ""content"": ""not in black and white""}], [{""id"": ""g.5.0"", ""content"": ""it is not""}]]","349931001","""No link""","[""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty""]","""Why is the pic in black and white?"""
"[[{""id"": ""g.0.0"", ""content"": ""inside fountain""}], [{""id"": ""g.1.0"", ""content"": ""it's pond""}], [{""id"": ""g.2.0"", ""content"": ""fountain""}], [{""id"": ""g.3.0"", ""content"": ""rained""}], [{""id"": ""g.4.0"", ""content"": ""pond""}], [{""id"": ""g.5.0"", ""content"": ""pool""}]]","264598004","""No link""","[""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty""]","""Why is the ground wet?"""
"[[{""id"": ""g.0.0"", ""content"": ""they will be shorn""}], [{""id"": ""g.1.0"", ""content"": ""unsure""}], [{""id"": ""g.2.0"", ""content"": ""to identify them""}], [{""id"": ""g.3.0"", ""content"": ""visibility""}], [{""id"": ""g.4.0"", ""content"": ""marking""}], [{""id"": ""g.5.0"", ""content"": ""culls""}], [{""id"": ""g.6.0"", ""content"": ""identification""}], [{""id"": ""g.7.0"", ""content"": ""to count them""}], [{""id"": ""g.8.0"", ""content"": ""count from air""}], [{""id"": ""g.9.0"", ""content"": ""counting""}]]","133540001","""No link""","[""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty""]","""Why are the coats painted?"""
"[[{""id"": ""g.0.0"", ""content"": ""relaxing""}], [{""id"": ""g.1.0"", ""content"": ""resting""}], [{""id"": ""g.2.0"", ""content"": ""with family""}], [{""id"": ""g.3.0"", ""content"": ""to watch river""}], [{""id"": ""g.4.0"", ""content"": ""watching boats""}], [{""id"": ""g.5.0"", ""content"": ""talking""}]]","393630000","""No link""","[""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty""]","""Why is the woman sitting on the bench?"""
"[[{""id"": ""g.0.0"", ""content"": ""yes""}], [{""id"": ""g.1.0"", ""content"": ""to warm it's body""}], [{""id"": ""g.2.0"", ""content"": ""it is cold""}], [{""id"": ""g.3.0"", ""content"": ""warmth""}], [{""id"": ""g.4.0"", ""content"": ""cold""}]]","532555002","""No link""","[""empty"", ""empty"", ""empty"", ""empty"", ""empty""]","""Why does the horse have a blanket on?"""
"[[{""id"": ""g.0.0"", ""content"": ""small umbrella""}], [{""id"": ""g.1.0"", ""content"": ""her friend sucks""}], [{""id"": ""g.2.0"", ""content"": ""none""}], [{""id"": ""g.3.0"", ""content"": ""it's too small""}], [{""id"": ""g.4.0"", ""content"": ""too small""}], [{""id"": ""g.5.0"", ""content"": ""no""}], [{""id"": ""g.6.0"", ""content"": ""rudeness""}], [{""id"": ""g.7.0"", ""content"": ""unknown""}], [{""id"": ""g.8.0"", ""content"": ""small""}]]","536920010","""No link""","[""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty""]","""Why don't the girls share the umbrella?"""
"[[{""id"": ""g.0.0"", ""content"": ""raining""}], [{""id"": ""g.1.0"", ""content"": ""rain""}], [{""id"": ""g.2.0"", ""content"": ""it's raining""}], [{""id"": ""g.3.0"", ""content"": ""it is raining""}]]","536920011","""No link""","[""empty"", ""empty"", ""empty"", ""empty""]","""Why the street is wet?"""
"[[{""id"": ""g.0.0"", ""content"": ""camera""}], [{""id"": ""g.1.0"", ""content"": ""reflection in window""}], [{""id"": ""g.2.0"", ""content"": ""it's not""}], [{""id"": ""g.3.0"", ""content"": ""he's fluffy""}], [{""id"": ""g.4.0"", ""content"": ""kitten's out of focus""}], [{""id"": ""g.5.0"", ""content"": ""your best guess""}], [{""id"": ""g.6.0"", ""content"": ""out of focus""}], [{""id"": ""g.7.0"", ""content"": ""reflection""}], [{""id"": ""g.8.0"", ""content"": ""photo effect""}]]","2606001","""No link""","[""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty""]","""Why is the kitten blurry?"""
"[[{""id"": ""g.0.0"", ""content"": ""watching""}], [{""id"": ""g.1.0"", ""content"": ""relaxing""}], [{""id"": ""g.2.0"", ""content"": ""resting""}], [{""id"": ""g.3.0"", ""content"": ""looking out""}], [{""id"": ""g.4.0"", ""content"": ""napping""}], [{""id"": ""g.5.0"", ""content"": ""sun""}], [{""id"": ""g.6.0"", ""content"": ""sitting in sun""}], [{""id"": ""g.7.0"", ""content"": ""to look out window""}]]","2606007","""No link""","[""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty""]","""Why are they on the sill?"""
"[[{""id"": ""g.0.0"", ""content"": ""playing game""}], [{""id"": ""g.1.0"", ""content"": ""gaming""}], [{""id"": ""g.2.0"", ""content"": ""they are playing wii""}], [{""id"": ""g.3.0"", ""content"": ""playing games""}], [{""id"": ""g.4.0"", ""content"": ""game playing""}], [{""id"": ""g.5.0"", ""content"": ""playing wii""}], [{""id"": ""g.6.0"", ""content"": ""playing""}], [{""id"": ""g.7.0"", ""content"": ""playing video game""}]]","2693006","""No link""","[""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty""]","""Why are some of the people standing?"""
"[[{""id"": ""g.0.0"", ""content"": ""letting people off""}], [{""id"": ""g.1.0"", ""content"": ""stop light""}], [{""id"": ""g.2.0"", ""content"": ""not parked""}], [{""id"": ""g.3.0"", ""content"": ""street""}], [{""id"": ""g.4.0"", ""content"": ""red light""}], [{""id"": ""g.5.0"", ""content"": ""waiting""}], [{""id"": ""g.6.0"", ""content"": ""to pick up passengers""}]]","395920011","""No link""","[""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty""]","""Why is the bus parked?"""
"[[{""id"": ""g.0.0"", ""content"": ""type of lens""}], [{""id"": ""g.1.0"", ""content"": ""lens type""}], [{""id"": ""g.2.0"", ""content"": ""filter""}], [{""id"": ""g.3.0"", ""content"": ""fisheye lens""}], [{""id"": ""g.4.0"", ""content"": ""weird lens""}], [{""id"": ""g.5.0"", ""content"": ""lens""}], [{""id"": ""g.6.0"", ""content"": ""photoshop""}], [{""id"": ""g.7.0"", ""content"": ""camera is using fisheye lens""}], [{""id"": ""g.8.0"", ""content"": ""photography""}], [{""id"": ""g.9.0"", ""content"": ""through lens""}]]","44147000","""No link""","[""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty""]","""Why does this man look so distorted in the photo?"""
"[[{""id"": ""g.0.0"", ""content"": ""to serve""}], [{""id"": ""g.1.0"", ""content"": ""hit ball""}], [{""id"": ""g.2.0"", ""content"": ""serving tennis ball""}], [{""id"": ""g.3.0"", ""content"": ""serving ball""}], [{""id"": ""g.4.0"", ""content"": ""playing tennis""}], [{""id"": ""g.5.0"", ""content"": ""serve ball""}], [{""id"": ""g.6.0"", ""content"": ""he threw ball up""}], [{""id"": ""g.7.0"", ""content"": ""to serve ball""}]]","66003001","""No link""","[""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty""]","""Why is the man reaching his arm up?"""
"[[{""id"": ""g.0.0"", ""content"": ""swollen""}], [{""id"": ""g.1.0"", ""content"": ""perspective of picture""}], [{""id"": ""g.2.0"", ""content"": ""close up photo""}], [{""id"": ""g.3.0"", ""content"": ""close to camera""}], [{""id"": ""g.4.0"", ""content"": ""perspective""}], [{""id"": ""g.5.0"", ""content"": ""close up picture""}], [{""id"": ""g.6.0"", ""content"": ""close range""}], [{""id"": ""g.7.0"", ""content"": ""this is closeup""}], [{""id"": ""g.8.0"", ""content"": ""close up""}]]","527096002","""No link""","[""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty""]","""Why is his fingers so big?"""
